category,title,price,original_price,sale_price,discount,availability,variant,product_id,product_url,image_url,brand
kids,Hawaiian Shorts,"Rs. 1,890","Rs. 1,890","Rs. 1,890",Pay 362 now (BaadMay),Available,bbs0043,8.77024E+12,https://beoneshopone.com/collections/kids-new-arrivals/products/bbs0043,https://beoneshopone.com/cdn/shop/files/BBS0043-MLT3.jpg?v=1738839331&width=1080,One
kids,Basic Slim Jeans,"Rs. 3,490","Rs. 3,490","Rs. 3,490",Pay 669 now (BaadMay),Available,bbj0044,8.77024E+12,https://beoneshopone.com/collections/kids-new-arrivals/products/bbj0044,https://beoneshopone.com/cdn/shop/files/BBJ0044-BLK1.jpg?v=1738839241&width=1080,One
kids,Button Down Shirt,"Rs. 2,890","Rs. 2,890","Rs. 2,890",Pay 554 now (BaadMay),Available,gtw0055,8.76759E+12,https://beoneshopone.com/collections/kids-new-arrivals/products/gtw0055,https://beoneshopone.com/cdn/shop/files/GTW0055-YWT1.jpg?v=1738839925&width=1080,One
kids,Tiered Dress,"Rs. 3,290","Rs. 3,290","Rs. 3,290",Pay 631 now (BaadMay),Available,gtd0096,8.76759E+12,https://beoneshopone.com/collections/kids-new-arrivals/products/gtd0096,https://beoneshopone.com/cdn/shop/files/GTD0096-BLW1.jpg?v=1738839772&width=1080,One
kids,Floral Pants,"Rs. 2,590","Rs. 2,590","Rs. 2,590",Pay 496 now (BaadMay),Available,gbp0035,8.76759E+12,https://beoneshopone.com/collections/kids-new-arrivals/products/gbp0035,https://beoneshopone.com/cdn/shop/files/GBP0035-BLK3.jpg?v=1738839732&width=1080,One
kids,Barbie Tee,"Rs. 1,990","Rs. 1,990","Rs. 1,990",Pay 381 now (BaadMay),Available,gtt0103,8.76432E+12,https://beoneshopone.com/collections/kids-new-arrivals/products/gtt0103,https://beoneshopone.com/cdn/shop/files/GTT01031copy.jpg?v=1738907395&width=1080,One
kids,Surfer Tee,"Rs. 2,990","Rs. 2,990","Rs. 2,990",Pay 573 now (BaadMay),Available,gtt0099,8.76432E+12,https://beoneshopone.com/collections/kids-new-arrivals/products/gtt0099,https://beoneshopone.com/cdn/shop/files/GTT0099-BLK2.jpg?v=1738839837&width=1080,One
kids,A-line Pearl Dress,"Rs. 3,390","Rs. 3,390","Rs. 3,390",Pay 650 now (BaadMay),Available,gtd0107,8.76432E+12,https://beoneshopone.com/collections/kids-new-arrivals/products/gtd0107,https://beoneshopone.com/cdn/shop/files/GTD0107-YLO.jpg?v=1741082098&width=1080,One
kids,Button Down Dress,"Rs. 3,290","Rs. 3,290","Rs. 3,290",Pay 631 now (BaadMay),Available,gtd0102,8.76432E+12,https://beoneshopone.com/collections/kids-new-arrivals/products/gtd0102,https://beoneshopone.com/cdn/shop/files/GTD0102-OWH1.jpg?v=1738839812&width=1080,One
kids,Smocking Frock,"Rs. 3,390","Rs. 3,390","Rs. 3,390",Pay 650 now (BaadMay),Available,gtd0101,8.76432E+12,https://beoneshopone.com/collections/kids-new-arrivals/products/gtd0101,https://beoneshopone.com/cdn/shop/files/GTD0101-MLT1.jpg?v=1738839801&width=1080,One
